id,title,text,keywords,category,intent
1,Password Reset,Users can reset their account password through the password recovery page.,"password, reset, recovery, account, login",IT,password_recovery
2,Account Recovery,Users can recover their account by verifying their registered email address.,"account recovery, email verification, account access, registered email",IT,account_recovery
3,Remote Work Policy,Employees are allowed to work remotely for up to 10 days per month.,"remote work, work from home, employees, policy, flexible work",HR,remote_work
4,Annual Leave,Employees receive 20 days of paid annual leave every year.,"annual leave, paid leave, vacation, employees, time off",HR,annual_leave
5,Machine Learning,Machine learning allows computers to learn patterns from data.,"machine learning, data, patterns, AI, prediction",AI/ML,machine_learning
6,Python,Python is a popular programming language used for data science and machine learning.,"Python, programming, data science, machine learning, software",Programming,python
7,Health Insurance,Employees are eligible for company health insurance benefits.,"health insurance, employees, medical, benefits, coverage",HR,health_insurance
8,Work From Home,Employees may work from home according to the company's remote work policy.,"work from home, remote work, employees, home office, flexible work",HR,remote_work
9,Deep Learning,Deep learning uses neural networks with multiple layers to learn complex patterns.,"deep learning, neural networks, layers, patterns, AI",AI/ML,deep_learning
10,Employee Benefits,"Employees receive various benefits including insurance, leave and retirement benefits.","employee benefits, insurance, leave, retirement, employees",HR,employee_benefits
11,Phishing Protection,Employees should avoid suspicious links in unexpected emails to reduce phishing risks.,"phishing, email, security, fraud, links",Security,phishing
12,SQL,SQL is used to query and manage information stored in relational databases.,"SQL, database, query, data, tables",Programming,sql
13,Data Science,"Data science combines data analysis, statistics and machine learning to solve problems.","data science, analysis, statistics, machine learning, data",AI/ML,data_science
14,Sick Leave,Employees can request sick leave when they are unable to work because of illness.,"sick leave, illness, leave, employees, absence",HR,sick_leave
15,Data Privacy,Organizations should protect personal information from unauthorized access.,"privacy, personal data, security, information, compliance",Security,data_privacy
16,Cloud Computing,Cloud computing provides computing resources through internet-based services.,"cloud, servers, storage, computing, technology",Technology,cloud_computing
17,API,An API allows different software applications to communicate with each other.,"API, software, integration, applications, requests",Technology,api
18,Natural Language Processing,Natural language processing enables computers to work with human language.,"NLP, language, text, AI, natural language",AI/ML,nlp
19,Semantic Search,Semantic search retrieves documents based on meaning rather than exact keyword matches.,"semantic search, meaning, query, documents, similarity",AI/ML,semantic_search
20,Customer Support,Customers can contact support when they need help with a product or service.,"customer support, help, service, customers, tickets",Business,customer_support
21,Password Reset,Users can change a forgotten password using the account recovery option.,"password, reset, recovery, account, login",IT,password_recovery
22,Account Recovery,Account access can be restored after the registered email is verified.,"account recovery, email verification, account access, registered email",IT,account_recovery
